0x8b0890,CP,ObjTypeID,PaletteID,TileConfigID,MapID,Anims1,Anims2,MapChangesID,Fog,N/A,Chapter Title,N/A,Initial coord,N/A,Weather,BattleBG,DifficultyBonus,Player Phase BGM,Enemy Phase BGM,NPC BGM,N/A (Player Battle BGM),N/A (Enemy Battle BGM),N/A (Ally Battle BGM),Player Phase BGM Flag 4,Enemy Phase BGM Flag 4,N/A (Preparation BGM),N/A,N/A,Wall HP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ChName,N/A (ChName),EventsID,WMEventsID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ChNumber,N/A,N/A,N/A,N/A,N/A,Foes for Victory BGM,Dark Before Initial Event,StatusObjectiveText,GoalWindowText,GoalWindowInfo,Turns to Defend,Unit to Defend,Withdrawal Point,N/A,N/A,N/A,N/A
Ch1,0x81c32c8,0x1,0x2,0x3,0x4,0x5,0x0,0x6,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,InkMeUp,Elysium,0xf,0x9,0x13,0x13,0x9,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch1Name,Ch1Name,0x7,0x1,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,2,0x0,0xff,0xff,0x0,0x0,0x1,0x1,DefeatBossText,DefeatBossText,DefeatBossObjective,0,0x0,255,0,0x1d,0x0,0x0
Ch2,0x81c32cc,0x1,0x2,0x3,0x8,0x5,0x0,0x9,0x0,0x0,0x1,0x0,1,0,0x0,0x0,0x234,VenusLighthouse,Elysium,0xf,0x9,0x13,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch2Name,Ch2Name,0xa,0x2,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,4,0x0,0xff,0xff,0x0,0x0,0x1,0x1,SeizeGateText,SeizeGateText,SeizeObjective,0,0x0,255,0,0x18,0x0,0x0
Ch3,0x81c32d0,0x1,0x2,0x3,0xb,0x5,0x0,0xc,0x0,0x0,0x2,0x0,1,0,0x0,0x0,0x234,WallOfDefense,Elysium,0xf,0x9,0x13,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch3Name,Ch3Name,0xd,0x3,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,6,0x0,0xff,0xff,0x0,0x0,0x1,0x1,DefeatBossText,DefeatBossText,DefeatBossObjective,0,0x0,255,0,0x3,0x0,0x0
Ch4,0x81c32d4,0xe,0xf,0x10,0x11,0x12,0x0,0x13,0x0,0x0,0x3,0x0,8,10,0x0,0x5,0x234,Hydra,Elysium,0xf,0x9,0x13,0xf,0xffff,0xffff,0xb,0xffff,0xffff,25,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch4Name,Ch4Name,0x14,0x4,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,8,0x0,0xff,0xff,0x0,0x0,0x1,0x1,SeizeGateText,SeizeGateText,SeizeObjective,0,0x0,255,0,0x28,0x0,0x0
Ch5,0x81c32d8,0x1,0x2,0x3,0x15,0x5,0x0,0x16,0x0,0x0,0x4,0x0,1,0,0x0,0x0,0x234,PrayingHands,HungerMadeThemDesperate,0xf,0x9,0x13,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch5Name,Ch5Name,0x17,0x5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,10,0x0,0xff,0xff,0x0,0x0,0x1,0x1,SeizeGateText,SeizeGateText,SeizeObjective,0,0x0,255,0,0x18,0x0,0x0
Ch6,0x81c32dc,0x18,0x19,0x1a,0x1b,0x1c,0x0,0x1d,0x0,0x0,0x5,0x0,1,0,0x0,0x0,0x234,WoodlandRuins,HungerMadeThemDesperate,0xf,0xb,0x13,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch6Name,Ch6Name,0x1e,0x6,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,12,0x0,0xff,0xff,0x0,0x0,0x1,0x1,DefendText,DefendText,DefendObjective,15,0x0,255,0,0xc,0x0,0x0
Ch7,0x81c32e0,0xe,0xf,0x10,0x1f,0x12,0x0,0x20,0x0,0x0,0x6,0x0,8,10,0x0,0x6,0x234,GrubbyBlueDark,HungerMadeThemDesperate,0xf,0x9,0x13,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch7Name,Ch7Name,0x21,0x7,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,14,0x0,0xff,0xff,0x0,0x0,0x1,0x1,DefeatEnemyText,DefeatEnemyText,RoutObjective,0,0x0,255,0,0x5,0x0,0x0
Ch8,0x81c32e4,0x1,0x2,0x3,0x22,0x0,0x0,0x23,0x0,0x0,0x7,0x0,8,8,0x0,0x0,0x234,BigBattle,HungerMadeThemDesperate,0xf,0x11,0x18,0x11,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch8Name,Ch8Name,0x24,0x8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,16,0x0,0xff,0xff,0x0,0x0,0x1,0x1,MultiSeizeText,MultiSeizeText,SeizeObjective,15,0x0,255,0,0x1a,0x0,0x0
Ch9,0x81c32e8,0x1,0x2,0x3,0x25,0x5,0x0,0x26,0x0,0x0,0x8,0x0,8,16,0x0,0x0,0x234,Lang2Soldier,Bloodpool,0xf,0x9,0x13,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch9Name,Ch9Name,0x27,0x9,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,18,0x0,0xff,0xff,0x0,0x0,0x1,0x1,PlaceholderObjectiveText,PlaceholderObjectiveText,OtherObjective,0,0x0,255,0,0x18,0x0,0x0
Ch10,0x81c32ec,0x18,0x19,0x1a,0x28,0x1c,0x0,0x29,0x0,0x0,0x9,0x0,17,17,0x0,0x0,0x234,VenusLighthouse,Bloodpool,0xf,0x9,0x13,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch10Name,Ch10Name,0x2a,0xa,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,20,0x0,0xff,0xff,0x0,0x0,0x1,0x1,PlaceholderObjectiveText,PlaceholderObjectiveText,OtherObjective,0,0x0,255,0,0xc,0x0,0x0
Ch11,0x81c32f0,0xe,0xf,0x10,0x2b,0x12,0x0,0x2c,0x0,0x0,0xa,0x0,20,4,0x0,0x6,0x234,VenusLighthouse,Bloodpool,0xf,0xa,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch11Name,Ch11Name,0x2d,0xb,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,22,0x0,0xff,0xff,0x0,0x0,0x1,0x1,PlaceholderObjectiveText,PlaceholderObjectiveText,OtherObjective,0,0x0,255,0,0x7,0x0,0x0
Ch12,0x81c32f4,0x2e,0x2f,0x30,0x31,0x0,0x0,0x32,0x0,0x0,0xb,0x0,8,15,0x0,0x12,0x234,TheBoysGotWings,Bloodpool,0xf,0xa,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch12Name,Ch12Name,0x33,0xc,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,24,0x0,0xff,0xff,0x0,0x0,0x1,0x1,SeizeThroneText,SeizeThroneText,SeizeObjective,0,0x0,255,0,0x1d,0x0,0x0
Ch13,0x81c32f8,0x2e,0x34,0x30,0x35,0x0,0x0,0x36,0x0,0x0,0xc,0x0,8,22,0x0,0x12,0x234,VenusLighthouse,Morgan,0xf,0xa,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch13Name,Ch13Name,0x37,0xd,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,26,0x0,0xff,0xff,0x0,0x0,0x1,0x1,SeizeGateText,SeizeGateText,SeizeObjective,0,0x0,255,0,0x1d,0x0,0x0
Ch14,0x81c32fc,0x1,0x38,0x3,0x39,0x5,0x0,0x3a,0x0,0x0,0xd,0x0,8,8,0x0,0x0,0x234,VenusLighthouse,Morgan,0xf,0xa,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch14Name,Ch14Name,0x3b,0xe,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,28,0x0,0xff,0xff,0x0,0x0,0x1,0x1,DefeatBossText,DefeatBossText,DefeatBossObjective,15,0x0,255,0,0x18,0x0,0x0
Ch15,0x81c3300,0x3c,0x3d,0x3e,0x3f,0x0,0x0,0x40,0x0,0x0,0xe,0x0,1,0,0x0,0xc,0x234,VenusLighthouse,Morgan,0xf,0xa,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch15Name,Ch15Name,0x41,0xf,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,30,0x0,0xff,0xff,0x0,0x0,0x1,0x1,DefeatEnemyText,DefeatEnemyText,RoutObjective,0,0x0,255,0,0x2a,0x0,0x0
Ch16,0x81c3304,0x42,0x43,0x44,0x45,0x5,0x0,0x46,0x0,0x0,0xf,0x0,13,6,0x0,0x9,0x234,VenusLighthouse,AtAPlaceNobodyKnows,0xf,0xa,0x14,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch16Name,Ch16Name,0x47,0x10,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,32,0x0,0xff,0xff,0x0,0x0,0x1,0x1,DefeatBossText,DefeatBossText,DefeatBossObjective,0,0x0,255,0,0x30,0x0,0x0
Ch17,0x81c3308,0x18,0x48,0x1a,0x49,0x1c,0x0,0x4a,0x0,0x0,0x10,0x0,1,0,0x0,0x10,0x234,VenusLighthouse,AtAPlaceNobodyKnows,0xf,0xd,0x15,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch17Name,Ch17Name,0x4b,0x11,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,34,0x0,0xff,0xff,0x0,0x0,0x1,0x1,SeizeGateText,SeizeGateText,SeizeObjective,0,0x0,255,0,0xc,0x0,0x0
Ch18,0x81c330c,0x1,0x4c,0x3,0x4d,0x5,0x0,0x4e,0x0,0x0,0x11,0x0,1,0,0x0,0x14,0x234,VenusLighthouse,AtAPlaceNobodyKnows,0xf,0xd,0x15,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch18Name,Ch18Name,0x4f,0x12,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,36,0x0,0xff,0xff,0x0,0x0,0x1,0x1,SeizeGateText,SeizeGateText,SeizeObjective,0,0x0,255,0,0x18,0x0,0x0
Ch19,0x81c3310,0x50,0x51,0x52,0x53,0x0,0x54,0x55,0x0,0x0,0x12,0x0,1,27,0x0,0x2,0x234,TopFloor,TopFloor,0xf,0xd,0x15,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch19Name,Ch19Name,0x56,0x13,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,38,0x0,0xff,0xff,0x0,0x0,0x1,0x1,ArriveText,ArriveText,OtherObjective,0,0x0,255,0,0x32,0x0,0x0
Ch20,0x81c3314,0x18,0x57,0x1a,0x58,0x1c,0x0,0x59,0x0,0x0,0x13,0x0,17,11,0x0,0x11,0x234,VenusLighthouse,TopFloor,0xf,0x11,0x18,0x11,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch20Name,Ch20Name,0x5a,0x14,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,40,0x0,0xff,0xff,0x0,0x0,0x1,0x1,SeizeGateText,SeizeGateText,SeizeObjective,0,0x0,255,0,0xb,0x0,0x0
Ch21,0x81c3318,0x1,0x5b,0x3,0x5c,0x5,0x0,0x5d,0x0,0x0,0x14,0x0,12,12,0x0,0xd,0x234,TheMostDistantRoad,TopFloor,0xf,0xd,0x15,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,Ch21Name,Ch21Name,0x5e,0x15,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,42,0x0,0xff,0xff,0x0,0x0,0x1,0x1,DefeatBossText,DefeatBossText,DefeatBossObjective,0,0x0,255,0,0x31,0x0,0x0
,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
