0x8b0890,CP,ObjTypeID,PaletteID,TileConfigID,MapID,Anims1,Anims2,MapChangesID,Fog,N/A,Chapter Title,N/A,Initial coord,N/A,Weather,BattleBG,DifficultyBonus,Player Phase BGM,Enemy Phase BGM,NPC BGM,N/A (Player Battle BGM),N/A (Enemy Battle BGM),N/A (Ally Battle BGM),Player Phase BGM Flag 4,Enemy Phase BGM Flag 4,N/A (Preparation BGM),N/A,N/A,Wall HP,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ChName,N/A (ChName),EventsID,WMEventsID,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,ChNumber,N/A,N/A,N/A,N/A,N/A,Foes for Victory BGM,Dark Before Initial Event,StatusObjectiveText,GoalWindowText,GoalWindowInfo,Turns to Defend,Unit to Defend,Withdrawal Point,N/A,N/A,N/A,N/A
,0x81c3390,0x6c,0xa3,0x6e,0xad,0x5,0x0,0xae,0x0,0x0,0x31,0x0,1,0,0x0,0xe,0x234,0x12,0x17,0xf,0x12,0x17,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x191,0x191,0xaf,0x30,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x8,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9,0x0,0x0
,0x81c3394,0x6c,0xa3,0x6e,0xb0,0x5,0x0,0xb1,0x0,0x0,0x32,0x0,1,0,0x0,0xe,0x234,0x12,0x17,0xf,0x12,0x17,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x192,0x192,0xb2,0x31,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xa,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9,0x0,0x0
,0x81c3398,0x6c,0xa3,0x6e,0xb3,0x5,0x0,0xb4,0x0,0x0,0x33,0x0,1,0,0x0,0xe,0x234,0x12,0x17,0xf,0x12,0x17,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x193,0x193,0xb5,0x32,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xc,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9,0x0,0x0
,0x81c339c,0x6c,0xa3,0x6e,0xb6,0x5,0x0,0xb7,0x0,0x0,0x34,0x0,1,0,0x0,0xe,0x234,0x12,0x17,0xf,0x12,0x17,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x194,0x194,0xb8,0x33,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xe,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9,0x0,0x0
,0x81c33a0,0x18,0xb9,0x1a,0xba,0x1c,0x0,0xbb,0x0,0x0,0x35,0x0,1,0,0x0,0xe,0x234,0x12,0x17,0xf,0x12,0x17,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x195,0x195,0xbc,0x34,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x10,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9,0x0,0x0
,0x81c33a4,0x50,0x51,0x52,0xbd,0x0,0x54,0xbe,0x0,0x0,0x36,0x0,1,0,0x0,0x2,0x234,0x12,0x17,0xf,0x12,0x17,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x196,0x196,0xbf,0x35,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x12,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9,0x0,0x0
,0x81c33a8,0x6c,0xa3,0x6e,0xc0,0x5,0x0,0xc1,0x0,0x0,0x37,0x0,1,0,0x0,0xe,0x234,0x12,0x17,0xf,0x12,0x17,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x197,0x197,0xc2,0x36,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x14,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9,0x0,0x0
,0x81c33ac,0x1,0x2,0x3,0xc3,0x5,0x0,0xc4,0x0,0x0,0x38,0x0,1,0,0x0,0xe,0x234,0x9,0x13,0xf,0x9,0x13,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x198,0x198,0xc5,0x37,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x1,0x1c0,0x19e,0x1,0,0x0,255,0,0x9,0x0,0x0
,0x81c33b0,0x1,0x2,0x3,0xc6,0x5,0x0,0xc7,0x0,0x0,0x39,0x0,1,0,0x0,0x0,0x234,0xd,0x15,0xf,0xd,0x15,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x199,0x199,0xc8,0x38,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x1,0x0,0x1c0,0x19e,0x1,0,0x0,255,0,0x1d,0x0,0x0
,0x81c3380,0x3c,0x68,0x3e,0xc9,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
,0x81c33b4,0xe,0xf,0x10,0xca,0x12,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0x0,0x4,0x234,0x9,0x13,0xf,0x9,0x13,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x0,0x0,0xcb,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x1c0,0x19e,0x1,0,0x0,255,0,0x9,0x0,0x0
,0x81c33b8,0x1,0x2,0x3,0xcc,0x5,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0x0,0x4,0x234,0x9,0x13,0xf,0x9,0x13,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x0,0x0,0xcd,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x1c0,0x19e,0x1,0,0x0,255,0,0x9,0x0,0x0
,0x81c33bc,0x3c,0xce,0x3e,0xcf,0x0,0x0,0xd0,0x0,0x0,0x3d,0x0,1,0,0x0,0xa,0x234,0x11,0x18,0xf,0x11,0x18,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x19a,0x19a,0xd1,0x39,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x16,0x0,0xff,0xff,0x0,0x0,0x1,0x0,0x1ae,0x19e,0x1,0,0x0,255,0,0x1a,0x0,0x0
,0x81c33c4,0xe,0x72,0x10,0xd2,0xd3,0x0,0xd4,0x0,0x0,0x3e,0x0,1,0,0x0,0x8,0x234,0x11,0x18,0xf,0x11,0x18,0xf,0xffff,0xffff,0xb,0xffff,0xffff,50,5,5,5,5,6,6,6,6,7,7,7,7,8,8,8,8,0,100,100,100,100,80,80,80,80,60,60,60,60,40,40,40,40,0,1060,1060,1060,1060,0x19b,0x19b,0xd5,0x3a,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x16,0x0,0xff,0xff,0x0,0x0,0x1,0x1,0x1bc,0x19e,0x1,0,0x0,255,0,0x8,0x0,0x0
,0x81c3380,0x1,0x2,0x3,0xd6,0x5,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
,0x81c3380,0x1,0x2,0x3,0xd7,0x5,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
,0x81c3380,0x2e,0x34,0x30,0xd8,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
,0x81c3380,0x18,0x48,0x1a,0xd9,0x1c,0x0,0xda,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
,0x81c3380,0x18,0x48,0x1a,0xdb,0x1c,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
,0x81c3380,0x18,0x19,0x1a,0xdc,0x1c,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
,0x81c3380,0x1,0x2,0x3,0xdd,0x5,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
,0x81c3380,0x79,0x7a,0x7b,0xde,0x7d,0x0,0xdf,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
,0x81c3380,0x18,0x48,0x1a,0xe0,0x1c,0x0,0xe1,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
,0x81c3380,0x18,0x57,0x1a,0xe2,0x1c,0x0,0xe3,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
,0x81c3380,0x1,0x2,0x3,0xe4,0x5,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
,0x81c3380,0x3c,0x68,0x3e,0xe5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
,0x81c3380,0x79,0xe6,0x7b,0xe7,0x7d,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
,0x81c3380,0x1,0x2,0x3,0xe8,0x5,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
,0x81c3380,0x79,0x7a,0x7b,0xe9,0x7d,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
,0x81c3380,0xe,0xea,0x10,0xeb,0x12,0x0,0x0,0x0,0x0,0x0,0x0,1,0,0x0,0x0,0x234,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,0xffff,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0x0,0x0,0xc5,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0xff,0xff,0x0,0x0,0x0,0x0,0x0,0x0,0x0,0,0x0,255,0,0x0,0x0,0x0
